company,platform,handle,followers,following,posts,likes,url,status,note,collected_at
Promac Paints,Instagram,promac_paints,Unable to extract,Unable to extract,Unable to extract,,https://www.instagram.com/promac_paints/,Unknown,,2025-09-08 13:27:20
Promac Paints,,,,,,,,,Failed to access Facebook page PromacPaints,2025-09-08 13:27:20
Dulux SA,Instagram,duluxsa,Unable to extract,Unable to extract,Unable to extract,,https://www.instagram.com/duluxsa/,Unknown,,2025-09-08 13:27:20
Dulux SA,,,,,,,,,Failed to access Facebook page dulux,2025-09-08 13:27:20
Plascon,Instagram,plascon_sa,Unable to extract,Unable to extract,Unable to extract,,https://www.instagram.com/plascon_sa/,Unknown,,2025-09-08 13:27:20
Plascon,,,,,,,,,Failed to access Facebook page plascon,2025-09-08 13:27:20
Promac Paints,YouTube,,47,,14,,https://www.youtube.com/@promacpaints4081,Inactive (2+ years),Confirmed via MCP - Very low engagement,2025-09-08 13:27:20
Dulux SA,YouTube,,549,,Multiple,,https://www.youtube.com/@DuluxSA,Inactive (10 years),Confirmed via MCP - Historical content only,2025-09-08 13:27:20
Plascon,YouTube,,637,,Multiple,,https://www.youtube.com/@plasconpaintsouthafrica,Active (2023-2024),Confirmed via MCP - 500-6K views per video,2025-09-08 13:27:20
